text,label
I feel broken and lost after I feel lonely at night this evening #0,suicidal
Everything feels meaningless since I feel isolated from everyone again #1,suicidal
I feel broken and lost after I lost an important opportunity recently #2,suicidal
I am mentally exhausted because I was insulted by someone today this evening #3,suicidal
Today I feel emotionally numb happened and I feel like I cannot continue anymore today #4,suicidal
I am mentally exhausted because I was insulted by someone today after college #5,suicidal
I feel completely hopeless after my friends ignored me recently #6,suicidal
Everything feels meaningless since I feel trapped in my thoughts this week #7,suicidal
I am tired of dealing with life after I couldn't finish my project after college #8,suicidal
Sometimes I think everyone would be better without me after my friends ignored me this evening #9,suicidal
Sometimes I think everyone would be better without me after I feel isolated from everyone again #10,suicidal
Sometimes I think everyone would be better without me after I lost an important opportunity this evening #11,suicidal
I don't want to wake up tomorrow because I had a big argument at home this week #12,suicidal
I don't want to wake up tomorrow because I keep overthinking everything this week #13,suicidal
I feel completely hopeless after I feel lonely at night this evening #14,suicidal
Today I failed repeatedly this week happened and I feel like I cannot continue anymore this evening #15,suicidal
I feel emotionally drained after I failed repeatedly this week today #16,suicidal
I don't think life will improve after I was insulted by someone today this evening #17,suicidal
Today I disappointed my parents happened and I feel like I cannot continue anymore after college #18,suicidal
I don't think life will improve after I performed badly in college again #19,suicidal
I feel completely hopeless after I feel lonely at night recently #20,suicidal
I feel emotionally drained after I feel isolated from everyone this evening #21,suicidal
I feel broken and lost after I lost an important opportunity this week #22,suicidal
Today I had a terrible day at college happened and I feel like I cannot continue anymore recently #23,suicidal
Today I cannot manage academic pressure happened and I feel like I cannot continue anymore this evening #24,suicidal
I don't want to wake up tomorrow because I lost an important opportunity after college #25,suicidal
Everything feels meaningless since my friends ignored me this evening #26,suicidal
Sometimes I think everyone would be better without me after I had a big argument at home again #27,suicidal
I don't want to wake up tomorrow because I performed badly in college this evening #28,suicidal
I am mentally exhausted because I feel stressed about my future after college #29,suicidal
Sometimes I think everyone would be better without me after I was insulted by someone today today #30,suicidal
I feel completely hopeless after I couldn't finish my project today #31,suicidal
I feel broken and lost after I feel stressed about my future today #32,suicidal
I am mentally exhausted because I performed badly in college this week #33,suicidal
Today I feel trapped in my thoughts happened and I feel like I cannot continue anymore recently #34,suicidal
I am tired of dealing with life after I made too many mistakes today recently #35,suicidal
I am mentally exhausted because I had a big argument at home this week #36,suicidal
I feel emotionally drained after I couldn't finish my project today #37,suicidal
I don't want to wake up tomorrow because I had a big argument at home this evening #38,suicidal
Today I failed repeatedly this week happened and I feel like I cannot continue anymore this evening #39,suicidal
Today I got rejected in an interview happened and I feel like I cannot continue anymore after college #40,suicidal
I feel broken and lost after I feel isolated from everyone this week #41,suicidal
Everything feels meaningless since I feel lonely at night this evening #42,suicidal
I am tired of dealing with life after I was insulted by someone today again #43,suicidal
I am mentally exhausted because I cannot manage academic pressure again #44,suicidal
Today I had a terrible day at college happened and I feel like I cannot continue anymore again #45,suicidal
I feel broken and lost after I feel lonely at night after college #46,suicidal
I feel completely hopeless after I cannot manage academic pressure after college #47,suicidal
I am mentally exhausted because I feel emotionally numb this week #48,suicidal
I am mentally exhausted because I failed my exam recently #49,suicidal
I don't think life will improve after I lost an important opportunity today #50,suicidal
I am tired of dealing with life after my friends ignored me this evening #51,suicidal
I don't want to wake up tomorrow because I feel emotionally numb this week #52,suicidal
Today I performed badly in college happened and I feel like I cannot continue anymore this week #53,suicidal
Everything feels meaningless since I feel trapped in my thoughts this evening #54,suicidal
Sometimes I think everyone would be better without me after I feel trapped in my thoughts after college #55,suicidal
Today I cannot manage academic pressure happened and I feel like I cannot continue anymore after college #56,suicidal
I feel emotionally drained after I performed badly in college after college #57,suicidal
I am tired of dealing with life after I lost an important opportunity after college #58,suicidal
Sometimes I think everyone would be better without me after I couldn't finish my project after college #59,suicidal
I don't think life will improve after I feel trapped in my thoughts recently #60,suicidal
I am mentally exhausted because I had a terrible day at college this week #61,suicidal
Everything feels meaningless since I lost an important opportunity again #62,suicidal
Everything feels meaningless since I had a big argument at home today #63,suicidal
I don't think life will improve after I failed my exam again #64,suicidal
I feel emotionally drained after I cannot manage academic pressure today #65,suicidal
I am mentally exhausted because I feel stressed about my future after college #66,suicidal
Everything feels meaningless since I lost an important opportunity today #67,suicidal
I feel emotionally drained after I performed badly in college recently #68,suicidal
I feel emotionally drained after I got rejected in an interview again #69,suicidal
I feel completely hopeless after I lost an important opportunity after college #70,suicidal
Today I feel emotionally numb happened and I feel like I cannot continue anymore this week #71,suicidal
Everything feels meaningless since I couldn't finish my project again #72,suicidal
Sometimes I think everyone would be better without me after I feel trapped in my thoughts this week #73,suicidal
I am tired of dealing with life after I feel lonely at night today #74,suicidal
I feel emotionally drained after I was insulted by someone today after college #75,suicidal
I feel completely hopeless after I made too many mistakes today after college #76,suicidal
I feel broken and lost after my friends ignored me recently #77,suicidal
I feel completely hopeless after I had a terrible day at college this evening #78,suicidal
I don't want to wake up tomorrow because I disappointed my parents this evening #79,suicidal
Sometimes I think everyone would be better without me after I couldn't finish my project this evening #80,suicidal
I am mentally exhausted because I lost confidence in myself after college #81,suicidal
Today my friends ignored me happened and I feel like I cannot continue anymore after college #82,suicidal
Today I keep overthinking everything happened and I feel like I cannot continue anymore this week #83,suicidal
I am tired of dealing with life after I disappointed my parents after college #84,suicidal
Sometimes I think everyone would be better without me after I feel stressed about my future today #85,suicidal
I feel broken and lost after I feel trapped in my thoughts this week #86,suicidal
Today I feel lonely at night happened and I feel like I cannot continue anymore today #87,suicidal
Sometimes I think everyone would be better without me after I performed badly in college this evening #88,suicidal
I feel emotionally drained after I feel lonely at night this evening #89,suicidal
Today I was insulted by someone today happened and I feel like I cannot continue anymore after college #90,suicidal
I feel completely hopeless after I failed my exam this week #91,suicidal
I don't think life will improve after I had a big argument at home recently #92,suicidal
Everything feels meaningless since I feel isolated from everyone this week #93,suicidal
Today I lost an important opportunity happened and I feel like I cannot continue anymore this week #94,suicidal
Today I disappointed my parents happened and I feel like I cannot continue anymore this evening #95,suicidal
I don't want to wake up tomorrow because I made too many mistakes today today #96,suicidal
Today I disappointed my parents happened and I feel like I cannot continue anymore recently #97,suicidal
I am mentally exhausted because I disappointed my parents this week #98,suicidal
I feel completely hopeless after I failed my exam today #99,suicidal
I don't want to wake up tomorrow because I had a big argument at home today #100,suicidal
Today I couldn't finish my project happened and I feel like I cannot continue anymore this evening #101,suicidal
I feel completely hopeless after my friends ignored me today #102,suicidal
I don't think life will improve after I feel trapped in my thoughts after college #103,suicidal
I am tired of dealing with life after I made too many mistakes today after college #104,suicidal
Everything feels meaningless since I performed badly in college today #105,suicidal
I feel completely hopeless after I feel trapped in my thoughts this week #106,suicidal
I don't want to wake up tomorrow because I feel stressed about my future recently #107,suicidal
I feel completely hopeless after I keep overthinking everything this week #108,suicidal
I feel broken and lost after I got rejected in an interview again #109,suicidal
I feel emotionally drained after I had a terrible day at college this week #110,suicidal
Everything feels meaningless since I got rejected in an interview this evening #111,suicidal
Today I made too many mistakes today happened and I feel like I cannot continue anymore this evening #112,suicidal
